sample       length:q1   length:q3   length:median   avg.qual:q1   avg.qual:q3   avg.qual:median
----------   ---------   ---------   -------------   -----------   -----------   ---------------
Zymo_FL16S   1539.00     1546.00     1543.00         33.76         45.88         37.70
