sample      length:q1   length:q3   length:median   avg.qual:q1   avg.qual:q3   avg.qual:median
---------   ---------   ---------   -------------   -----------   -----------   ---------------
BEI_FL16S   1536.00     1549.00     1544.00         33.78         46.59         37.81
