	Bacteria_AS1	Bacteria_AS4	Bacteria_AS5	Bacteria_AS6	Bacteria_FS2	Bacteria_SE1	Bacteria_SE2	Bacteria_SS1	Bacteria_SS2
Bacteria_AS1	0.0	0.9670970946113733	0.9597715420908866	0.9279860938664017	0.9968959523218277	0.9967717904147008	0.9960268189719395	0.983734790166377	0.9931710951080208
Bacteria_AS4	0.9670970946113733	0.0	0.5148994288552272	0.9543084181773032	0.9950335237149243	0.9932952570151478	0.9932952570151478	0.9805065805810778	0.9945368760864167
Bacteria_AS5	0.9597715420908866	0.5148994288552272	0.0	0.9490936180779737	0.9940402284579091	0.9904395331512292	0.9932952570151478	0.9788924757884281	0.9960268189719395
Bacteria_AS6	0.9279860938664017	0.9543084181773032	0.9490936180779737	0.0	0.9981375713930966	0.9967717904147008	0.99639930469332	0.9874596473801838	0.9863421902160417
Bacteria_FS2	0.9968959523218277	0.9950335237149243	0.9940402284579091	0.9981375713930966	0.0	0.8436801589272411	0.8826669977650857	0.9757884281102558	0.9904395331512292
Bacteria_SE1	0.9967717904147008	0.9932952570151478	0.9904395331512292	0.9967717904147008	0.8436801589272411	0.0	0.8618077973677676	0.9741743233176061	0.9679662279612615
Bacteria_SE2	0.9960268189719395	0.9932952570151478	0.9932952570151478	0.99639930469332	0.8826669977650857	0.8618077973677676	0.0	0.9749192947603675	0.9577849515768562
Bacteria_SS1	0.983734790166377	0.9805065805810778	0.9788924757884281	0.9874596473801838	0.9757884281102558	0.9741743233176061	0.9749192947603675	0.0	0.905512788676434
Bacteria_SS2	0.9931710951080208	0.9945368760864167	0.9960268189719395	0.9863421902160417	0.9904395331512292	0.9679662279612615	0.9577849515768562	0.905512788676434	0.0
