	Bacteria_AS1	Bacteria_AS4	Bacteria_AS5	Bacteria_AS6	Bacteria_FS2	Bacteria_SE1	Bacteria_SE2	Bacteria_SS1	Bacteria_SS2
Bacteria_AS1	0	0.2323467052376443	0.2251817199400957	0.2236113644342696	0.3063665690373854	0.3024461731592383	0.3349441258020491	0.262845365003397	0.3246767772034898
Bacteria_AS4	0.2323467052376443	0	0.1206441720286044	0.2570513024839829	0.3070798680944347	0.3197351743893837	0.3770745280462162	0.2680838513588494	0.3746436576824826
Bacteria_AS5	0.2251817199400957	0.1206441720286044	0	0.2720363355649922	0.3096727895429028	0.3200059091399294	0.3530015529730658	0.2554333191456835	0.3716874435013692
Bacteria_AS6	0.2236113644342696	0.2570513024839829	0.2720363355649922	0	0.3357346114436526	0.3359810406301157	0.362456994491521	0.2901505458158179	0.2909480200978677
Bacteria_FS2	0.3063665690373854	0.3070798680944347	0.3096727895429028	0.3357346114436526	0	0.2284071837732215	0.2765637471997804	0.3050012603378276	0.4056434021718855
Bacteria_SE1	0.3024461731592383	0.3197351743893837	0.3200059091399294	0.3359810406301157	0.2284071837732215	0	0.2835274204650418	0.3106373566612942	0.4020664457107871
Bacteria_SE2	0.3349441258020491	0.3770745280462162	0.3530015529730658	0.362456994491521	0.2765637471997804	0.2835274204650418	0	0.3784936873358888	0.3690965637617014
Bacteria_SS1	0.262845365003397	0.2680838513588494	0.2554333191456835	0.2901505458158179	0.3050012603378276	0.3106373566612942	0.3784936873358888	0	0.3562143920574377
Bacteria_SS2	0.3246767772034898	0.3746436576824826	0.3716874435013692	0.2909480200978677	0.4056434021718855	0.4020664457107871	0.3690965637617014	0.3562143920574377	0
