	Bacteria_AS1	Bacteria_AS4	Bacteria_AS5	Bacteria_AS6	Bacteria_FS2	Bacteria_SE1	Bacteria_SE2	Bacteria_SS1	Bacteria_SS2
Bacteria_AS1	0	0.6702789955997669	0.6479696276170391	0.6200095480930193	0.7480827175664501	0.7584747909071277	0.8048454486245022	0.6907895564026632	0.7459334207668594
Bacteria_AS4	0.6702789955997669	0	0.3728047525398462	0.7152106478335227	0.7129326213732256	0.7539349620656334	0.7983796618859857	0.6962326336232951	0.7691728668617918
Bacteria_AS5	0.6479696276170391	0.3728047525398462	0	0.696899577062188	0.7056667224781037	0.7452657993909806	0.791952407518745	0.6868237326043566	0.773512494812187
Bacteria_AS6	0.6200095480930193	0.7152106478335227	0.696899577062188	0	0.7937709894686626	0.7832751453803662	0.8220942011421959	0.7256991326802956	0.717362617870732
Bacteria_FS2	0.7480827175664501	0.7129326213732256	0.7056667224781037	0.7937709894686626	0	0.5906722533081239	0.6843358422145348	0.6971350751043734	0.7825537351946142
Bacteria_SE1	0.7584747909071277	0.7539349620656334	0.7452657993909806	0.7832751453803662	0.5906722533081239	0	0.6228113198231208	0.7271687113776354	0.7499692441545642
Bacteria_SE2	0.8048454486245022	0.7983796618859857	0.791952407518745	0.8220942011421959	0.6843358422145348	0.6228113198231208	0	0.7770323177155594	0.7677686593924526
Bacteria_SS1	0.6907895564026632	0.6962326336232951	0.6868237326043566	0.7256991326802956	0.6971350751043734	0.7271687113776354	0.7770323177155594	0	0.6828294321244246
Bacteria_SS2	0.7459334207668594	0.7691728668617918	0.773512494812187	0.717362617870732	0.7825537351946142	0.7499692441545642	0.7677686593924526	0.6828294321244246	0
