sample	input_reads	demuxed_reads
Bacteria_AS1	19616	19339
Bacteria_AS2	19815	19484
Bacteria_AS3	19257	18845
Bacteria_AS4	19769	19410
Bacteria_AS5	19831	19497
Bacteria_AS6	19810	19423
Bacteria_FS1	19612	19217
Bacteria_FS2	19795	19423
Bacteria_SE1	19786	19398
Bacteria_SE2	19810	19446
Bacteria_SS1	19929	19513
Bacteria_SS2	19763	19384
