sample	input_reads	demuxed_reads
R11_1_P2C2	16195	15552
R11_1_P3C3	19627	19312
R3_1_P2C2	24657	23560
R3_1_P3C3	30983	30393
R3_2_P2C2	22799	22000
R3_2_P3C3	27505	27068
R3_3_P2C2	14675	14134
R3_3_P3C3	18783	18488
R9_1B_P2C2	23003	22120
R9_1B_P3C3	28156	27702
R9_1_P2C2	25306	24092
R9_1_P3C3	32133	31488
R9_2_P2C2	19073	18284
R9_2_P3C3	24760	24303
R9_3_P2C2	16315	15698
R9_3_P3C3	21621	21332
R9_4_P2C2	12438	11978
R9_4_P3C3	15169	14904
