Feature ID	Taxon	Consensus
01e39ac078718bfa0eb503e5f29598ec	Unassigned	1.0
01e534fb510efadcf870defbf5e3f0bb	Unassigned	1.0
01e6db094181de30205a5cb0572e6d69	Unassigned	1.0
02020996dac629ac58f8f76ab2191ba1	Unassigned	1.0
0216cea979a139588e6d8b3045d92b37	Unassigned	1.0
0226cdcbdcc3e3093f5c5689e20ebb5d	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ramlibacter;s__Ramlibacter sp013087525	1.0
023587dabd7f60fbd0c1c629c311ea08	Unassigned	1.0
02401bb4658aeed9d8f63c280ead3001	Unassigned	1.0
0255f2d849317d1b55d5a3420e7cea35	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__PSRF01;s__PSRF01 sp013817595	1.0
025df76b1cc3c370726cb614a5232b57	Unassigned	1.0
0260823fcac0a7d7dab45cc40c1de5cc	Unassigned	1.0
0272d2a40b456f735938899726643a1b	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__SCUD01;s__SCUD01 sp016874295	1.0
02738a634a3213b775f22f06c38d1340	Unassigned	1.0
02773024828e5855d7444eab13a7da1a	Unassigned	1.0
0281d1444ef26a0b68b595999cb0ca92	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__Sphingomicrobium daechungense	1.0
0282d69edd8e8feea8512353be2e1d32	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__Chryseobacterium wanjuense	1.0
02948ff6d85ee785cc02da20c364ced1	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__JACDCH01;g__VFJN01;s__VFJN01 sp009694375	1.0
02af4feebb8c98c331eb7715fba27a8b	Unassigned	1.0
02b207489d7ab8feea35b024e3cf15f8	Unassigned	1.0
02c1c7a8b196cbe7a0262cd0adf386fe	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Aromatoleum;s__Aromatoleum evansii	1.0
02c571d5153370350e65bd7f57fff18d	Unassigned	1.0
02c992b7d8b4c552565386948516a989	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__Sphingomicrobium sp003097155	1.0
02d088d8f8da86cd9bdc83f6b1b80b6c	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__Sphingomicrobium sinipercae	1.0
02d1692998a60c8183f0fab40b82fb49	Unassigned	1.0
02e854f46a9feda387fb19368cc70a6f	d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae;g__Anaeromyxobacter;s__Anaeromyxobacter sp000964525	1.0
02ee119b4267d7fccc905f8d50993aed	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhizobacter;s__Rhizobacter sp001425785	1.0
02f366dce04970b0d2f27e1672c6bb5d	Unassigned	1.0
031822d32224e61c93ca259106fd5cf0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA11222;f__UBA11222;g__UBA11222;s__UBA11222 sp009693835	1.0
0326ec238dedf39bc1b4d1710fe2d200	Unassigned	1.0
033170491d6acf787d3fbd1e24221e97	Unassigned	1.0
0338a943cfaf5be1a01f10477cfa38ac	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter;s__Lysobacter soli	1.0
0347a002214a8e901fd646e2b9015120	Unassigned	1.0
03488c6bc1a461577d574dce87df9ffa	Unassigned	1.0
0350443a6d6e080c34bc7ea02726a000	d__Bacteria;p__Myxococcota_A;c__UBA9160;o__UBA9160;f__PR03;g__PR03;s__PR03 sp003576805	1.0
0356c2fb3e3ba6186ceb078f605d1b84	Unassigned	1.0
0356f43f087a21eb9e5aa91ea4ac93d9	Unassigned	1.0
035c4ce839b0bc905c2019774584f54d	Unassigned	1.0
03663ebb88b3a067bd4a6fac0b4f2c6e	Unassigned	1.0
0366d961eee46cad103336d4e1006c7a	Unassigned	1.0
0369f073a9668857ab5cba0a57a50154	Unassigned	1.0
037597aca7541bef372b307a28245429	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter;s__Lysobacter solisilvae	1.0
038238895394d636b82587fe65e8a8da	Unassigned	1.0
039c7502e318ec335ea0240f3430d065	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavisolibacter;s__Flavisolibacter ginsengisoli	1.0
03a426f3e59fa430d3b787e1eec3b5fc	Unassigned	1.0
03af23a3cc949eea0587db85ce376bfd	Unassigned	1.0
03b4895173771463629d23ef07c771a4	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_A;s__Nitrospira_A sp900170025	1.0
03b5cbfd2d7c54a2229701580b71cae9	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Terrabacter;s__Terrabacter lapilli	1.0
03b89754944eef0c1bb75db38c14d76d	Unassigned	1.0
